1 , 1 , 1, 0.1
2 , 1 , 2, 0.1
3 , 1 , 3, 0.1
4 , 1 , 4, 0.1
5 , 1 , 5, 0.1
6 , 1 , 6, 0.1
7 , 1 , 7, 0.1
8 , 1 , 8, 0.1
9 , 0 , 8, 0.1
10 , 0 , 8, 0.1
11 , 0 , 8, 0.1
12 , 0 , 8, 0.1
13 , 0 , 8, 0.1
14 , 0 , 8, 0.1
15 , 0 , 8, 0.1
16 , 0 , 8, 0.1
17 , 0 , 8, 0.1
18 , 0 , 8, 0.1
19 , 0 , 8, 0.1
20 , 0 , 8, 0.1
21 , 0 , 8, 0.1
22 , 0 , 8, 0.1
23 , 0 , 8, 0.1
24 , 0 , 8, 0.1
25 , 0 , 8, 0.1
26 , 0 , 8, 0.1
27 , 0 , 8, 0.1
28 , 0 , 8, 0.1
29 , 0 , 8, 0.1
30 , 0 , 8, 0.1
31 , 0 , 8, 0.1
32 , 0 , 8, 0.1
33 , 0 , 8, 0.1
34 , 1 , 9, 0.1
35 , 1 , 10, 0.1
36 , 0 , 10, 0.1
37 , 0 , 10, 0.1
38 , 0 , 10, 0.1
39 , 0 , 10, 0.1
40 , 0 , 10, 0.1
41 , 1 , 11, 0.1
42 , 1 , 12, 0.1
43 , 1 , 13, 0.1
44 , 1 , 14, 0.1
45 , 0 , 14, 0.1
46 , 1 , 15, 0.1
47 , 1 , 16, 0.1
48 , 1 , 17, 0.1
49 , 1 , 18, 0.1
50 , 1 , 19, 0.1
51 , 1 , 20, 0.1
52 , 1 , 21, 0.1
53 , 1 , 22, 0.1
54 , 1 , 23, 0.1
55 , 1 , 24, 0.1
56 , 1 , 25, 0.1
57 , 1 , 26, 0.1
58 , 1 , 27, 0.1
59 , 1 , 28, 0.1
60 , 0 , 28, 0.1
61 , 1 , 29, 0.1
62 , 1 , 30, 0.1
63 , 1 , 31, 0.1
64 , 1 , 32, 0.1
65 , 1 , 33, 0.1
66 , 0 , 33, 0.1
67 , 1 , 34, 0.1
68 , 1 , 35, 0.1
69 , 0 , 35, 0.1
70 , 1 , 36, 0.1
71 , 0 , 36, 0.1
72 , 0 , 36, 0.1
73 , 1 , 37, 0.1
74 , 1 , 38, 0.1
75 , 1 , 39, 0.1
76 , 1 , 40, 0.1
77 , 1 , 41, 0.1
78 , 1 , 42, 0.1
79 , 0 , 42, 0.1
80 , 1 , 43, 0.1
81 , 1 , 44, 0.1
82 , 1 , 45, 0.1
83 , 1 , 46, 0.1
84 , 0 , 46, 0.1
85 , 1 , 47, 0.1
86 , 1 , 48, 0.1
87 , 0 , 48, 0.1
88 , 1 , 49, 0.1
89 , 1 , 50, 0.1
90 , 1 , 51, 0.1
91 , 1 , 52, 0.1
92 , 1 , 53, 0.1
93 , 0 , 53, 0.1
94 , 1 , 54, 0.1
95 , 1 , 55, 0.1
96 , 0 , 55, 0.1
97 , 0 , 55, 0.1
98 , 1 , 56, 0.1
99 , 1 , 57, 0.1
100 , 1 , 58, 0.1
101 , 1 , 59, 0.1
102 , 1 , 60, 0.1
103 , 0 , 60, 0.1
104 , 1 , 61, 0.1
105 , 0 , 61, 0.1
106 , 1 , 62, 0.1
107 , 1 , 63, 0.1
108 , 1 , 64, 0.1
109 , 0 , 64, 0.1
110 , 1 , 65, 0.1
111 , 1 , 66, 0.1
112 , 0 , 66, 0.1
113 , 0 , 66, 0.1
114 , 1 , 67, 0.1
115 , 1 , 68, 0.1
116 , 1 , 69, 0.1
117 , 0 , 69, 0.1
118 , 1 , 70, 0.1
119 , 1 , 71, 0.1
120 , 1 , 72, 0.1
121 , 1 , 73, 0.1
122 , 1 , 74, 0.1
123 , 1 , 75, 0.1
124 , 1 , 76, 0.1
125 , 0 , 76, 0.1
126 , 0 , 76, 0.1
127 , 1 , 77, 0.1
128 , 1 , 78, 0.1
129 , 1 , 79, 0.1
130 , 1 , 80, 0.1
131 , 0 , 80, 0.1
132 , 1 , 81, 0.1
133 , 1 , 82, 0.1
134 , 0 , 82, 0.1
135 , 0 , 82, 0.1
136 , 0 , 82, 0.1
137 , 0 , 82, 0.1
138 , 1 , 83, 0.1
139 , 1 , 84, 0.1
140 , 1 , 85, 0.1
141 , 1 , 86, 0.1
142 , 1 , 87, 0.1
143 , 1 , 88, 0.1
144 , 1 , 89, 0.1
145 , 1 , 90, 0.1
146 , 1 , 91, 0.1
147 , 1 , 92, 0.1
148 , 1 , 93, 0.1
149 , 1 , 94, 0.1
150 , 1 , 95, 0.1
151 , 0 , 95, 0.1
152 , 0 , 95, 0.1
153 , 1 , 96, 0.1
154 , 0 , 96, 0.1
155 , 1 , 97, 0.1
156 , 1 , 98, 0.1
157 , 1 , 99, 0.1
158 , 1 , 100, 0.1
159 , 1 , 101, 0.1
160 , 1 , 102, 0.1
161 , 0 , 102, 0.1
162 , 0 , 102, 0.1
163 , 1 , 103, 0.1
164 , 0 , 103, 0.1
165 , 1 , 104, 0.1
166 , 1 , 105, 0.1
167 , 1 , 106, 0.1
168 , 1 , 107, 0.1
169 , 1 , 108, 0.1
170 , 0 , 108, 0.1
171 , 0 , 108, 0.1
172 , 1 , 109, 0.1
173 , 1 , 110, 0.1
174 , 0 , 110, 0.1
175 , 1 , 111, 0.1
176 , 1 , 112, 0.1
177 , 1 , 113, 0.1
178 , 1 , 114, 0.1
179 , 1 , 115, 0.1
180 , 1 , 116, 0.1
181 , 0 , 116, 0.1
182 , 1 , 117, 0.1
183 , 1 , 118, 0.1
184 , 0 , 118, 0.1
185 , 1 , 119, 0.1
186 , 0 , 119, 0.1
187 , 0 , 119, 0.1
188 , 1 , 120, 0.1
189 , 1 , 121, 0.1
190 , 1 , 122, 0.1
191 , 1 , 123, 0.1
192 , 1 , 124, 0.1
193 , 1 , 125, 0.1
194 , 1 , 126, 0.1
195 , 1 , 127, 0.1
196 , 0 , 127, 0.1
197 , 1 , 128, 0.1
198 , 1 , 129, 0.1
199 , 1 , 130, 0.1
200 , 1 , 131, 0.1
